date,username,tweet
2022-02-13 00:37:35,indigonmi,eh impressionante que mesmo num hospital cheio de gente infectada com covid a galera n o usa a m scara direito tem idosa aqui at  sem m scara
2022-02-13 00:37:35,Martude06,  ha sido tener el covid y no volver a ser titular efectivamente  woman shrugging light skin tone 
2022-02-13 00:37:35,GadgieOld, i ve been told that i have to  nothing to do with covid though  just an ugly bugger 
2022-02-13 00:37:34,WiliamCruz0310,  my opinion     organized an event without care against covid     irresponsible      said he had a problem for getting vaccinated  lied      gave suspicious documentation  lied      organized a child event being contaminated  lied      has     of a company not pro vaccine  absurd 
2022-02-13 00:37:33,ElevenRooneys,  the whole covid bs has ruined so much it cannot be described in a tweet  your distress over honking is comical 
2022-02-13 00:37:33,PaulRoundy1,  the protection against severe disease from omicron by previous covid    infection is about      obviously i don t advocate for getting infected previous to vaccination  but it is nevertheless true 
2022-02-13 00:37:33,volunte28983615,covid  sweeping new bill would require vaccine for every california worker  via 
2022-02-13 00:37:33,barbietrucker82,  covid wasn t around when i took science  you should maybe do a little more research on what that vaccine is doing to your body   it scare the hell out of me and i m not vaccinated  i can t imagine how you would feel once the whole truth starts coming out 
2022-02-13 00:37:32,Rich_pi_34, not all of those   k deaths are from covid  stop lying  the numbers are fudged  because they include people who died with covid but of other causes  and the tests are not even accurate either  either way  there s still zero justification for any vax mandates 
2022-02-13 00:37:32,ATL_Test_Watch,covid test available today at cvs       mount vernon road suite      atlanta  ga        at      pm      pm      pm      pm      pm      pm      pm      pm    
2022-02-13 00:37:32,onahunttoday,   pfizer postpones covid     vaccine for children under   years old  
2022-02-13 00:37:32,Iam_moraks, the africa digital epidemiology innovation network  adein   is conducting a research on covid    vaccination  existing barriers and perceived effects among the nigerian population   kindly access the questionnaire below thank you   
2022-02-13 00:37:31,drevakosta_eva,  that is horrific  so sorry  clearly that person did not experience the carnage of covid before the vaccine  too bad his mother  or his children if any  can t read that text her son posted  shameful 
2022-02-13 00:37:31,sleepingscholar,this full thread is important  but these inequalities are why we are in deep shit with covid  all the distrust of the medical establishment and vaccinations  it comes from deep healthcare inequalities  everyone  everyone  in the us has been gouged by healthcare   some got bitter 
2022-02-13 00:37:31,Carl_Spackler99,  sterilize as in small pox  did anyone ever get a breakthrough case of small pox after getting vaccine  sterilize as in eliminating virus  covid vaccine doesn t sterilize  simply preps immune system  not sure the controversy here
2022-02-13 00:37:30,JenG3313, may i ask if you tested the kiddos or just yourself and what day of symptoms did you test an just curious emu kids where sick in october just them not us adults all the signs of covid took her first day of symptoms but it was negative it just makes me wonder if they had it
2022-02-13 00:37:29,gstraightlife,kevin falcon s path to a b c  liberal victory  hammer the ndp over airborne covid  
2022-02-13 00:37:29,Bcole1400,virginia poison center urges caution  potentially dangerous ingredient in at home covid tests    
2022-02-13 00:37:29,Nopanaden,    low covid    mortality in spanish children   an lisis de la mortalidad pedi trica en espa a   en  
2022-02-13 00:37:29,ian_talia1738,ruger forgot his vaccination card now the manager is busy explaining the day when they got the covid jab face with tears of joy  face with tears of joy 
2022-02-13 00:37:29,straightnews,kevin falcon s path to a b c  liberal victory  hammer the ndp over airborne covid  
